CODIGO_CLIENTE, NOMBRE_APELLIDO, CIUDAD, CORREO, CELULAR, ALTA, TIPO_MEMBRESIA
152024, LUIS JARA, ASUNCION, LUISJARA@HOTMAIL.COM, 984526523, 44339, BRONCE
152025, ANIBAL CARDOZO, SAN LORENZO , SAINT_SEIYA@HOTMAIL.COM, 981323345, 44891, PLATA
152026, IVAN PORTILLO , LAMBARE, IVANPORTILLO@HOTMAIL.COM, 984323335, 43496, PLATA
152027, ALFREDO CAZAL, LAMBARE, ALFREDOCAZAL85@GMAIL.COM, 991252624, 45394, ORO
152028, NOELIA SILVA, LUQUE, NOELIASILVA3256@GMAIL.COM, 992262728, 45197, ORO
152029, FLORENCIA SILVA, ASUNCION, FLORENCIASILVA4526@HOTMAIL.COM, 971262487, 44287, PLATA
152030, RUBEN GUTIERREZ, LAMBARE, RUBENGUTIERREZ60@HOTMAIL.COM, 975856524, 44722, BRONCE
152031, PATRICIA GOMEZ, ITA, PATRICIAGOMEZ64@HOTMAIL.COM, 974656424, 43962, BRONCE
152032, MARIA GOMEZ, MARIANO, MARIAGOMEZ@GMAIL.COM, 986256532, 44677, BRONCE
152033, TOMAS CABALLERO, LIMPIO, TOMASCABALLERO87@HOTMAIL.COM, 985676625, 44988, PLATA
152034, EMMA CABALLERO, SAN BERNARDINO, EMMA8565@HOTMAIL.COM, 976656624, 44349, PLATA
152035, JULIO SANCHEZ, SAN LORENZO , JULIOSANCHEZ88@HOTMAIL.COM, 985242633, 44899, ORO
152036, HORACIO ORTIZ, MARIANO, HORACIOORTIZ@HOTMAIL.COM, 984526532, 45122, ORO
152037, EDUARDO NU�EZ, LUQUE, EDUARDONU�EZ@HOTMAIL.COM, 981245005, 44369, PLATA
152038, CARLOS ORTIZ, LAMBARE, CARLOSORTIZ@HOTMAIL.COM, 981324257, 44058, PLATA
152039, VICTOR PATRICIO , ASUNCION, VICTORPATRICIO@HOTMAIL.COM, 993452536, 44275, BRONCE
152040, RODRIGO ARMOA, ASUNCION, RODRIGOARMOA54@HOTMAIL.COM, 994253681, 44701, BRONCE
152041, TERESA LOBOS, LAMBARE, TERESALOBOS55@HOTMAIL.COM, 981245568, 44444, PLATA
152042, CHARLES SILVA, ASUNCION, CHARLESSILVA70@HOTMAIL.COM, 981267843, 44614, BRONCE
152043, ROGER FEDERER, LAMBARE, ROGERFEDERER10@HOTMAIL.COM, 974512536, 44856, BRONCE
